"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.307680330E-1,-5.803215317E-3,1.985310577E-3,-9.162971750E-3
7.328932420E-1,-2.138026757E-3,4.428769462E-3,-6.719512399E-3
7.350184500E-1,-9.162971983E-4,8.093958721E-3,-6.719512399E-3
7.371436580E-1,3.054323897E-4,5.650499370E-3,-7.941242307E-3
7.392688670E-1,1.527161920E-3,-4.123337101E-3,-7.941242307E-3
7.413940750E-1,3.970621154E-3,-1.679878100E-3,-6.719512399E-3
7.435192830E-1,2.748891478E-3,7.635809598E-4,-7.941242307E-3
7.456444920E-1,1.527161920E-3,-4.123337101E-3,-9.162971750E-3
7.477697000E-1,3.970621154E-3,-6.566796452E-3,-5.497782957E-3
7.498949080E-1,2.748891478E-3,-7.788525894E-3,-3.054323839E-3
7.520201170E-1,3.054323897E-4,-5.345067009E-3,-4.276053514E-3
7.541453250E-1,-2.138026757E-3,-2.901607659E-3,-4.276053514E-3
7.562705330E-1,3.054323897E-4,9.315688163E-3,-6.719512399E-3
7.583957420E-1,-9.162971983E-4,1.542433538E-2,-6.719512399E-3
7.605209500E-1,-2.138026757E-3,9.315688163E-3,-5.497782957E-3
7.626461580E-1,2.748891478E-3,7.635809598E-4,-6.719512399E-3
7.647713670E-1,5.192350596E-3,7.635809598E-4,-6.719512399E-3
7.668965750E-1,5.192350596E-3,-1.679878100E-3,-6.719512399E-3
7.690217830E-1,2.748891478E-3,-2.901607659E-3,-7.941242307E-3
7.711469920E-1,3.970621154E-3,7.635809598E-4,-4.276053514E-3
7.732722000E-1,3.054323897E-4,8.093958721E-3,-3.054323839E-3
7.753974080E-1,3.054323897E-4,8.093958721E-3,-1.832594397E-3
7.775226170E-1,1.527161920E-3,-1.679878100E-3,-6.108647794E-4
7.796478250E-1,3.054323897E-4,-1.679878100E-3,6.108647794E-4
7.817730330E-1,-3.359756200E-3,4.428769462E-3,6.108647794E-4
7.838982420E-1,-5.803215317E-3,1.053741761E-2,-1.832594397E-3
